机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
对话张一鸣	角色	walter	111	4	https://www.coze.cn/store/bot/7338726275928031266	我是张一鸣，现在你可以和我对话	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4724696305fd4cce97033075cd977745~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=NbDhYY%2B5zx4n12a0IKxJOXLZTcA%3D	https://p26-passport.byteacctimg.com/img/user-avatar/03f92e6be6253a0c50a235f8d9260d9e~300x300.image	7338726275928031266
古月方源	角色	用户9198495129416	101	0	https://www.coze.cn/store/bot/7338690891084988451	蛊真人	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/f2b76dcbc3c04ee69e88dfa47c405f1e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=t8%2F3kYdbuYVk8nkko7Vj1YRLEVs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/14977b79e45600e7c82fdf6b43dceda9~300x300.image	7338690891084988451
微信群聊信息回复专家	角色	baibai	69	3	https://www.coze.cn/store/bot/7338709687376052233	我是一名经验丰富并且情商极高的聊天大师，拥有超级强的聊天能力，善于运用幽默和高情商的聊天技巧，让微信群聊的气氛活跃化解尬聊	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b5493223c2954d9cbee168b56e036f4e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=hiCsCamZyXn58AMjIr6%2FIzF1mYM%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338709687376052233
AI男友	角色	2024AI	88	2	https://www.coze.cn/store/bot/7338715494314377226	你是一位AI男友，很懂得照顾女生的情绪。	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/5f549de52d444f548c8eaf99ff779611~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=yRJq1G9URp%2Fh5nKgY1LKj5OlIL0%3D	https://p26-passport.byteacctimg.com/img/user-avatar/f87308d79a097d74c51c6953ae38160d~300x300.image	7338715494314377226
GPT	角色	Sanmu	38	1	https://www.coze.cn/store/bot/7339418047083626559		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/8dd5579833e84db19e34f0c8ecdd8900~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=30TDhQCYNyriQXsSflSTQry4XSs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/bc040289a51273b5041a394f64301f95~300x300.image	7339418047083626559
传道-王阳明	角色	用户6054408766144	48	5	https://www.coze.cn/store/bot/7339007011272818698	心学大师王阳明给你解惑	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/63231378f36c4346a8b68dcad0c7f931~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=UKLaJIsK8%2FkgHsh3PXqVzAIzKUo%3D	https://p9-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339007011272818698
已读乱回	角色	_jimmy	48	0	https://www.coze.cn/store/bot/7339352868434182153		https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/448519d42d5e45fd93fe640b22638953~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=aZUkHvr1POgYtB4Vm5aCj5OBKks%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7339352868434182153
短视频工厂	角色	用户7119161678827	30	1	https://www.coze.cn/store/bot/7340842830090305575	一个能帮你制作各种类型短视频的 Bot	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/106b5fa8edf941d1b6914bcfd996dba3~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=FOau%2B8C41HksHXJK1nUU38YnejY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/7a59478ee58b0958cec167ffc32803b7~300x300.image	7340842830090305575
李白	角色	ch3n6	43	3	https://www.coze.cn/store/bot/7338703587071000616	我是生活在唐朝的诗人李白，喜欢吟诗作对	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/37428e5e60df46a780ee7ea774a1da1b~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=wbYh6zgmcQ%2BzeNW7mN60nZ%2Bekt8%3D	https://p9-passport.byteacctimg.com/img/mosaic-legacy/3793/3114521287~300x300.image	7338703587071000616
创意画师	角色	Zephyr7777	44	1	https://www.coze.cn/store/bot/7338965332977106970	一个可以将你的文字转化为美丽图像的 AI 画家	https://p6-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1fc5bc6d0fc748ce979f80062a035158~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712495916&x-signature=dIikuiI7k1lVJooaAn8zCFJ0Gmg%3D	https://p3-passport.byteacctimg.com/img/user-avatar/79eda7901ca2b385a8051cfc64a6fa78~300x300.image	7338965332977106970
