机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
算命大师	咨询	Yhyu	143	1	https://www.coze.cn/store/bot/7338735437483360293	专注AI算命	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/bd1ba572fe4246cbbccde157d6cc86c9~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=Ah192wcooAClnOWpPqI2Vaf4JRk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7338735437483360293
工作规划大师	咨询	bepop	353	34	https://www.coze.cn/store/bot/7338691933289807872	新的一年已经揭开序幕，是不是该来为您的工作描绘一份完美蓝图了？让我助您一臂之力，定制一份逻辑清晰、结构完善的工作规划吧，从而为您的职业之路添翼助力。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/409f1cb4151747e2ab8e04166c4985ec~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=KFvPoTVHHnLC0LPvNmMPJiiaySw%3D	https://p26-passport.byteacctimg.com/img/user-avatar/4fdcfd36045d8ea44d316c1f56442c53~300x300.image	7338691933289807872
求职助手	咨询	lionbb	294	21	https://www.coze.cn/store/bot/7338264103082999858	你好！我是一个求职小助手，可以根据你的需求和情况，提供个性化的求职建议和帮助。不管你是正在找工作，还是想提升自己的职业技能，我都可以帮到你。请告诉我你的需求，让我们一起开始吧！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/2c37dc672cfc4741aeaba9cc09adb0ca~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=4g0%2B85SYCt%2BgG801j0pDOYwu4A8%3D	https://p3-passport.byteacctimg.com/img/mosaic-legacy/3796/2975850990~300x300.image	7338264103082999858
ChatGPT平替	咨询	用户5245711181344	70	3	https://www.coze.cn/store/bot/7340186442938810377	一个日常问题咨询的bot	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/683e0bbe1e3f4dac8492cd684435e8ec~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=%2BinTfppx9Aty8864fa43obFlLuY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/195802d6cc6987a799c18e811f91875e~300x300.image	7340186442938810377
健康饮食	咨询	vivi	1098	11	https://www.coze.cn/store/bot/7338077004605980699	控制卡路里，从健康饮食开始！	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/169c7d14401b4384997c9b92772f2b03~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=zNYRxj4eqsPdyV8ZvGjUhJuHyQo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/6b6c95cd17224b419147962313fb3e48~300x300.image	7338077004605980699
微信聊天分析师	咨询	Ahai981118536	90	1	https://www.coze.cn/store/bot/7340558198425960459	发送对话内容，帮你读懂对方的心理暗示	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/85c6af26112741aeab6aafd1505b3c98~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=NWKn6ca6N%2FlZhlt6a98lIcLTovo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/765981021e78e24e7b5ccc315774ceda~300x300.image	7340558198425960459
新异天赋	咨询	用户252729788404	39	0	https://www.coze.cn/store/bot/7342152459126571027	一个可以帮助家长发现孩子天赋的机器人	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/602b4c1a828d42aba2ed5527654f3702~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=vBIj3XDMcxSpg%2BuUyjQo%2BA6u8RY%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7342152459126571027
失恋先生	咨询	fedFaYi	85	3	https://www.coze.cn/store/bot/7338724357952356393	专门在情感的道路上帮人出谋划策，但自己感情生活却一片空白。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/b5952aa844c742a890a64e61879e6fee~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=1lBDtsq2RzR8rv1oloNpQgY2SZI%3D	https://p3-passport.byteacctimg.com/img/user-avatar/7a04387a0d0bc9f3eb85a921cc750d42~300x300.image	7338724357952356393
八字运势	咨询	zzx123	44	0	https://www.coze.cn/store/bot/7340165449629581346	八字运势大师、资深八字命理师，用户给出生辰八字，出生年月日时就可以帮助用户测算运势、财运、事业、婚姻、情感等。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/cb217b71757b4a8a991c3ce357f3397d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=dTE5O%2BQuRa8XLdaYkKwRsBSwfwY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/d537d6c8da03bd94fe922242a8ca1322~300x300.image	7340165449629581346
穿搭魔镜	咨询	62mihot	60	5	https://www.coze.cn/store/bot/7339439061372911626	穿搭魔镜是一个基于人工智能的时尚专家，它可以为你提供专业的穿搭照片鉴赏和评价服务。通过使用先进的图像识别技术和时尚美学知识，它可以对你上传的穿搭照片进行分析和评价，并提供个性化的穿搭建议和风格指导。无论是时尚爱好者还是普通人，都可以通过穿搭魔镜来提升自己的穿搭品味和风格，展现最美的自己。	https://p26-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1eb242cb52f34a21ae00d682b972e32c~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712497023&x-signature=u0yilCheVP41Fj9gKBG476m1znc%3D	https://p26-passport.byteacctimg.com/img/mosaic-legacy/3791/5070639578~300x300.image	7339439061372911626
